disease,from_year,to_year,drift
Attention-deficit_hyperactivity_disorder,2020,2021,1.1384487e-05
Attention-deficit_hyperactivity_disorder,2021,2022,1.3232231e-05
Attention-deficit_hyperactivity_disorder,2022,2023,1.1563301e-05
Attention-deficit_hyperactivity_disorder,2023,2024,1.3887882e-05
Attention-deficit_hyperactivity_disorder,2024,2025,3.3557415e-05
Attention-deficit_hyperactivity_disorder,2025,2026,8.761883e-05
Autism_spectrum_disorders,2000,2001,2.7954578e-05
Autism_spectrum_disorders,2001,2002,3.862381e-05
Autism_spectrum_disorders,2002,2003,4.1007996e-05
Autism_spectrum_disorders,2003,2004,2.7358532e-05
Autism_spectrum_disorders,2004,2005,3.0338764e-05
Autism_spectrum_disorders,2005,2006,3.4749508e-05
Autism_spectrum_disorders,2006,2007,4.082918e-05
Autism_spectrum_disorders,2007,2008,1.4483929e-05
Autism_spectrum_disorders,2008,2009,1.4781952e-05
Autism_spectrum_disorders,2009,2010,1.5079975e-05
Autism_spectrum_disorders,2010,2011,1.8715858e-05
Autism_spectrum_disorders,2011,2012,2.014637e-05
Autism_spectrum_disorders,2012,2013,1.3411045e-05
Autism_spectrum_disorders,2013,2014,7.867813e-06
Autism_spectrum_disorders,2014,2015,7.987022e-06
Autism_spectrum_disorders,2015,2016,7.748604e-06
Autism_spectrum_disorders,2016,2017,1.4841557e-05
Autism_spectrum_disorders,2017,2018,6.198883e-06
Autism_spectrum_disorders,2018,2019,5.2452087e-06
Autism_spectrum_disorders,2019,2020,5.00679e-06
Autism_spectrum_disorders,2020,2021,1.13248825e-05
Autism_spectrum_disorders,2021,2022,1.001358e-05
Autism_spectrum_disorders,2022,2023,4.827976e-06
Autism_spectrum_disorders,2023,2024,1.4066696e-05
Autism_spectrum_disorders,2024,2025,3.2246113e-05
Autism_spectrum_disorders,2025,2026,6.580353e-05
Bacterial_skin_diseases,2000,2001,6.723404e-05
Bacterial_skin_diseases,2001,2002,8.761883e-05
Bacterial_skin_diseases,2002,2003,6.943941e-05
Bacterial_skin_diseases,2003,2004,4.0888786e-05
Bacterial_skin_diseases,2004,2005,6.377697e-05
Bacterial_skin_diseases,2005,2006,4.2557716e-05
Bacterial_skin_diseases,2006,2007,2.9444695e-05
Bacterial_skin_diseases,2007,2008,4.208088e-05
Bacterial_skin_diseases,2008,2009,2.9623508e-05
Bacterial_skin_diseases,2009,2010,3.4809113e-05
Bacterial_skin_diseases,2010,2011,3.552437e-05
Bacterial_skin_diseases,2011,2012,7.331371e-05
Bacterial_skin_diseases,2012,2013,3.8683414e-05
Bacterial_skin_diseases,2013,2014,4.851818e-05
Bacterial_skin_diseases,2014,2015,3.4809113e-05
Bacterial_skin_diseases,2015,2016,3.582239e-05
Bacterial_skin_diseases,2016,2017,5.5909157e-05
Bacterial_skin_diseases,2017,2018,3.2305717e-05
Bacterial_skin_diseases,2018,2019,2.2172928e-05
Bacterial_skin_diseases,2019,2020,4.1127205e-05
Bacterial_skin_diseases,2020,2021,3.59416e-05
Bacterial_skin_diseases,2021,2022,3.5762787e-05
Bacterial_skin_diseases,2022,2023,3.618002e-05
Bacterial_skin_diseases,2023,2024,4.518032e-05
Bacterial_skin_diseases,2024,2025,4.7922134e-05
Bacterial_skin_diseases,2025,2026,0.00088119507
Bipolar_disorder,2000,2001,3.8921833e-05
Bipolar_disorder,2001,2002,2.849102e-05
Bipolar_disorder,2002,2003,3.6239624e-05
Bipolar_disorder,2003,2004,3.0577183e-05
Bipolar_disorder,2004,2005,1.4603138e-05
Bipolar_disorder,2005,2006,2.193451e-05
Bipolar_disorder,2006,2007,2.0742416e-05
Bipolar_disorder,2007,2008,1.8298626e-05
Bipolar_disorder,2008,2009,1.8894672e-05
Bipolar_disorder,2009,2010,1.1742115e-05
Bipolar_disorder,2010,2011,1.4901161e-05
Bipolar_disorder,2011,2012,1.1861324e-05
Bipolar_disorder,2012,2013,9.834766e-06
Bipolar_disorder,2013,2014,1.347065e-05
Bipolar_disorder,2014,2015,1.0728836e-05
Bipolar_disorder,2015,2016,1.0550022e-05
Bipolar_disorder,2016,2017,2.1338463e-05
Bipolar_disorder,2017,2018,1.1205673e-05
Bipolar_disorder,2018,2019,1.6391277e-05
Bipolar_disorder,2019,2020,1.4543533e-05
Bipolar_disorder,2020,2021,1.4543533e-05
Bipolar_disorder,2021,2022,2.1517277e-05
Bipolar_disorder,2022,2023,7.2717667e-06
Bipolar_disorder,2023,2024,1.8835068e-05
Bipolar_disorder,2024,2025,3.7431717e-05
Bipolar_disorder,2025,2026,0.00014132261
Bladder_cancer,2000,2001,1.3530254e-05
Bladder_cancer,2001,2002,1.5497208e-05
Bladder_cancer,2002,2003,1.5199184e-05
Bladder_cancer,2003,2004,2.4735928e-05
Bladder_cancer,2004,2005,1.847744e-05
Bladder_cancer,2005,2006,1.4364719e-05
Bladder_cancer,2006,2007,1.1861324e-05
Bladder_cancer,2007,2008,1.7106533e-05
Bladder_cancer,2008,2009,2.5749207e-05
Bladder_cancer,2009,2010,1.6152859e-05
Bladder_cancer,2010,2011,2.1219254e-05
Bladder_cancer,2011,2012,1.1503696e-05
Bladder_cancer,2012,2013,1.1444092e-05
Bladder_cancer,2013,2014,1.5079975e-05
Bladder_cancer,2014,2015,2.336502e-05
Bladder_cancer,2015,2016,1.2934208e-05
Bladder_cancer,2016,2017,2.1100044e-05
Bladder_cancer,2017,2018,1.013279e-05
Bladder_cancer,2018,2019,2.8014183e-05
Bladder_cancer,2019,2020,1.4603138e-05
Bladder_cancer,2020,2021,1.770258e-05
Bladder_cancer,2021,2022,1.31726265e-05
Bladder_cancer,2022,2023,6.020069e-06
Bladder_cancer,2023,2024,3.0696392e-05
Bladder_cancer,2024,2025,5.7041645e-05
Bladder_cancer,2025,2026,0.000116467476
Blindness_and_vision_loss,2000,2001,2.783537e-05
Blindness_and_vision_loss,2001,2002,1.7404556e-05
Blindness_and_vision_loss,2002,2003,1.680851e-05
Blindness_and_vision_loss,2003,2004,9.715557e-06
Blindness_and_vision_loss,2004,2005,1.1622906e-05
Blindness_and_vision_loss,2005,2006,1.0967255e-05
Blindness_and_vision_loss,2006,2007,1.0251999e-05
Blindness_and_vision_loss,2007,2008,1.6272068e-05
Blindness_and_vision_loss,2008,2009,1.1920929e-05
